row_no	source	ama_id	ama_path	ama_l1	ama_l2	ama_l3	ama_l4	wow_id	wow_path	wow_l1	wow_l2	score	judgment	correct_wow_path	notes
1	review	3395231	Sports & Outdoors/Hunting & Fishing/Shooting/Airsoft Guns & Accessories/Airsoft Protective Gear/Chest Protectors	Sports & Outdoors	Hunting & Fishing	Shooting	Airsoft Guns & Accessories	40530403	スポーツ・アウトドア/陸上・トラック競技/陸上競技用品/アクセサリー・その他	スポーツ・アウトドア	陸上・トラック競技	0.400			
2	review	3396121	Sports & Outdoors/Sports/Team Sports/Baseball/Training Equipment/Fungo & Training Bats	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.443			
3	review	3396221	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Catcher's Mitts	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.490			
4	review	3396231	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/First Baseman's Mitts	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.470			
5	review	3396241	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Infielder's Mitts	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.483			
6	review	3396311	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Outfielder's Mitts	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.479			
7	review	3396471	Sports & Outdoors/Sports/Team Sports/Baseball/Training Equipment/Practice Nets	Sports & Outdoors	Sports	Team Sports	Baseball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.458			
8	review	3396551	Sports & Outdoors/Sports/Team Sports/Basketball/Court Equipment/Backboard Components	Sports & Outdoors	Sports	Team Sports	Basketball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.464			
9	review	3396641	Sports & Outdoors/Sports/Team Sports/Basketball/Court Equipment/Backboard Components/Pole Pads	Sports & Outdoors	Sports	Team Sports	Basketball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.417			
10	review	3396651	Sports & Outdoors/Sports/Team Sports/Basketball/Court Equipment/Scoreboards & Timers	Sports & Outdoors	Sports	Team Sports	Basketball	40520501	スポーツ・アウトドア/野球/プロテクター・ヘルメット/その他プロテクター・ヘルメット	スポーツ・アウトドア	野球	0.456			
