tv	tele,television,tv,video,テレビ,映像
audio	audio,sound,オーディオ,サウンド
video	video,ビデオ,ムービー,映像
camera	camera,cameras,photo,カメラ,写真
lens	lens,lenses,レンズ
cable	cable,cables,cord,wire,ケーブル
accessory	accessories,accessory,アクセサリ,アクセサリー,周辺機器,用品
computer	computer,pc,コンピュータ,パソコン
laptop	laptop,notebook,ノートpc,ノートパソコン
desktop	desktop,デスクトップ
tablet	tablet,タブレット
smartphone	phone,smartphone,スマホ,スマートフォン
game	game,gameplay,games,ゲーム,ゲームソフト
console	console,ゲーム機,ゲーム機本体
software	software,アプリ,ソフト,プログラム
watch	watch,watches,ウォッチ,腕時計
jewelry	jewelry,アクセ,ジュエリー
fashion	fashion,アパレル,ファッション,服,衣類
mens	men,men's,mens,メンズ,男性,綺士
ladies	ladies,woman,women,レディース,女性,婦人
kids	child,children,kids,こども,キッズ,子供,絵本,児童書,児童
bag	bag,bags,かばん,バッグ,韸
shoes	footwear,shoe,shoes,フットウェア,靴
outdoor	camp,outdoor,アウトドア,キャンプ
sports	sport,sports,スポーツ
fitness	fitness,training,トレーニング,フィットネス
golf	golf,ゴルフ
cycling	bicycle,bike,bikes,cycling,自車
hunting	hunting,狩獵
fishing	fishing,フィッシング,釣り
archery	archery,アーチェリー,弓道,kyudo
boxing	boxing,ボクシング
tennis	tennis,テニス
baseball	baseball,野球
boating	boat,boating,ボート
sailing	sailing,セーリング
climbing	climbing,クライミング,登山
hiking	hiking,ハイキング
camping	camping,キャンプ
ski	ski,skiing,スキー
snowboard	snowboard,スノーボード
pet	pet,pets,ペット
dog	dog,dogs,犬
cat	cat,cats,猫
toy	toy,toys,おもちゃ
hobby	hobby,ホビー
music	music,音楽
instrument	instrument,instruments,楽器
percussion	drum,drums,percussion,ドラム,パーカッション,打楽器
brass	brass,金管楽器
woodwind	woodwind,woodwinds,木管楽器,管楽器,wind
string	string,strings,弦楽器
recording	dtm,pa,recording,レコーディング,録音
score	score,scores,楽曲集,楽譜
songbook	songbook,songbooks,曲集
lyrics	lyrics,歌詞
grocery	food,grocery,フード,食品
gourmet	gourmet,グルメ
drink	beverage,beverages,drink,drinks,ドリンク,飲料
water	water,ウォーター,水
snack	snack,snacks,お菓子,スナック
meat	meat,ミート,肉
seafood	seafood,シーフード,魚,魚介
bakery	bakery,bread,breads,パン,ベーカリー
produce	produce,果物,野菜,青菜
frozen	frozen,冷凍
wine	wine,ワイン
beer	beer,ビール
alcohol	alcohol,お酒,アルコール,酒
coffee	coffee,カフェ,コーヒー
tea	tea,お茶,ティー
kitchen	kitchen,キッチン,台所
cook	cook,cooking,クッキング,調理
tableware	tableware,食器
appliance	appliance,appliances,家電,電化製品
home	home,ホーム,家,家庭
furniture	furniture,家具
bedding	bedding,寝具,布団
lighting	light,lighting,ライト,ランプ,照明
bath	bath,バス,浴室,風呂
garden	garden,ガーデン,園芸,庭
lawn	lawn,芝,芝生,芽
tool	tool,tools,工具
diy	diy,home improvement,improvement,日曜大工
hardware	hardware,金物
industrial	industrial,産業
scientific	scientific,サイエンティフィック,理化学
office	office,オフィス,事務,文房具
stationery	stationery,ステーショナリー
beauty	beauty,コスメ,ビューティー,化粧
health	health,ヘルス,健康
care	care,ケア
baby	baby,ベビー,赤ちゃん
bagpack	backpack,bagpack,バックパック,リュック
costume	costume,costumes,コスチューム,衣装
novelty	novelty,ジョーク,ノベルティ
fan	fan,fans,ファン,扇風機
audioacc	audioacc,earphones,headphones,イヤホン,ヘッドホン
other	misc,miscellaneous,other,others,その他
3d	3d
3do	3do
abrasive	abrasive,研磨剤
acceleration	acceleration,加速度
accent	accent,アクセント
access	access,アクセス
accordion	accordion,アコーディオン
accordions	accordions,アコーディオン
accounting	accounting,会計
acoustic	acoustic,音響
acoustics	acoustics,音響
action	action,アクション
active	active,アクティブ
activity	activity,活動
adapters	adapters,アダプター
additive	additive,添加剤
adhesives	adhesives,接着剤
adult	adult,アダルト
agility	agility,機敏性
aid	aid,援助
aids	aids,エイズ
aikido	aikido,合気道
air	air,空気
